epoch,nsat,PDOP,HDOP,VDOP,east_error_m,north_error_m,up_error_m,2d_error_m,3d_error_m
1,24,1.303352,0.616660,1.148241,29.920890,1.182163,10.054071,29.944235,31.587047
2,24,1.303331,0.616650,1.148223,29.952698,1.250691,10.143451,29.978798,31.648348
3,24,1.303311,0.616640,1.148204,30.002645,1.261854,10.012728,30.029169,31.654474
4,24,1.303289,0.616630,1.148186,29.953135,1.232065,10.058104,29.978464,31.620780
5,24,1.303268,0.616620,1.148167,29.912698,1.219265,9.937902,29.937537,31.543906
6,24,1.303247,0.616610,1.148149,29.905140,1.249525,9.881222,29.931233,31.520109
7,24,1.303226,0.616600,1.148130,29.948419,1.294913,9.896973,29.976401,31.567937
8,25,1.198129,0.609165,1.031713,22.139408,15.116505,93.680521,26.807874,97.440762
9,25,1.198137,0.609153,1.031729,22.077963,15.247169,94.335747,26.831187,98.077244
10,25,1.198145,0.609141,1.031745,22.223947,15.219919,94.600556,26.936030,98.360637
11,25,1.198152,0.609129,1.031761,22.178854,15.628095,95.966986,27.131880,99.728638
12,25,1.198164,0.609117,1.031781,29.909203,2.682232,17.863007,30.029232,34.940547
13,24,1.303096,0.616539,1.148015,30.212742,2.189310,9.362915,30.291960,31.705946
14,24,1.303074,0.616529,1.147996,31.301393,1.870635,9.013425,31.357239,32.626956
15,25,1.198186,0.609081,1.031828,31.874529,3.977095,19.786763,32.121688,37.726899
16,25,1.198193,0.609069,1.031843,29.866618,4.269747,25.422733,30.170277,39.453276
17,25,1.198200,0.609057,1.031860,31.065194,2.223042,14.844118,31.144633,34.501247
18,24,1.302986,0.616489,1.147917,31.748269,2.016010,6.620691,31.812213,32.493852
19,24,1.302964,0.616479,1.147898,30.454529,1.447348,3.851975,30.488903,30.731269
20,25,1.198222,0.609020,1.031906,30.121499,2.299333,7.908050,30.209131,31.227054
21,25,1.198229,0.609008,1.031921,30.394554,1.653483,7.814216,30.439496,31.426500
22,25,1.198236,0.608996,1.031937,30.515821,1.623035,8.134481,30.558952,31.623082
23,25,1.198243,0.608984,1.031952,30.004479,1.642626,9.612441,30.049409,31.549422
24,25,1.198250,0.608972,1.031967,30.001156,1.673260,10.202562,30.047781,31.732656
25,24,1.253647,0.634345,1.081313,31.071753,1.236715,14.694355,31.096355,34.393420
26,25,1.198263,0.608948,1.031996,32.606998,0.890065,14.642080,32.619144,35.754707
27,25,1.198269,0.608935,1.032011,31.754395,0.548234,15.811811,31.759127,35.477535
28,25,1.198276,0.608923,1.032026,32.751563,0.841116,19.474848,32.762362,38.113542
29,24,1.220204,0.645119,1.035722,34.501497,-0.481837,15.120579,34.504862,37.672501
30,24,1.220206,0.645098,1.035737,36.167614,0.580216,21.182322,36.172267,41.918059
31,25,1.198295,0.608887,1.032070,36.406682,-0.332026,20.464066,36.408196,41.765233
32,25,1.198302,0.608875,1.032084,37.039643,-1.714878,18.529017,37.079320,41.451182
33,24,1.219934,0.640095,1.038516,36.048426,-1.392383,18.557655,36.075307,40.568637
34,22,1.427543,0.701500,1.243292,37.675553,-2.711729,19.221916,37.773016,42.382576
35,24,1.219944,0.640068,1.038545,37.407710,0.736483,32.545998,37.414959,49.589526
36,22,1.520902,0.794715,1.296754,37.018308,1.951917,31.139057,37.069733,48.412870
37,23,1.292636,0.685735,1.095754,40.857159,-0.612995,38.028632,40.861757,55.819890
38,24,1.219961,0.640028,1.038589,39.873150,0.551327,32.972898,39.876962,51.743445
39,24,1.219966,0.640015,1.038604,42.361736,-0.100212,35.397249,42.361854,55.204094
40,25,1.198351,0.608779,1.032198,47.275029,-2.193988,30.585001,47.325912,56.348773
41,24,1.253458,0.634191,1.081183,45.197063,-1.786242,31.232595,45.232346,54.967628
42,24,1.219982,0.639975,1.038647,40.245918,-0.770351,31.045929,40.253290,50.834801
43,24,1.219988,0.639962,1.038662,39.283141,-0.569216,26.446711,39.287265,47.359452
44,23,1.229014,0.644924,1.046207,38.737022,-1.515071,27.462846,38.766639,47.508528
45,24,1.219998,0.639935,1.038690,39.325282,-0.497574,30.854480,39.328429,49.987241
46,24,1.220003,0.639922,1.038704,38.925464,-0.115289,31.889552,38.925635,50.320459
47,24,1.220007,0.639909,1.038718,39.138600,-0.146436,35.722073,39.138874,52.989791
48,24,1.220012,0.639896,1.038732,39.468814,0.084793,34.440356,39.468905,52.382560
49,23,1.274419,0.668885,1.084775,38.319233,0.320047,40.290520,38.320570,55.603886
50,23,1.225877,0.645510,1.042157,40.968815,-0.559405,35.049146,40.972634,53.918451
51,23,1.225075,0.649125,1.038963,40.904431,-0.891136,37.042428,40.914137,55.191558
52,23,1.225079,0.649115,1.038974,40.227935,-0.896881,39.526285,40.237932,56.404063
53,23,1.240786,0.652521,1.055351,38.345149,-0.509048,43.997579,38.348528,58.364343
54,20,1.495390,0.727797,1.306332,37.222063,1.240331,34.395303,37.242723,50.695732
55,20,1.579241,0.743936,1.393041,31.032416,4.674236,49.103181,31.382469,58.275053
56,22,1.355086,0.664607,1.180914,39.720881,2.190810,46.864907,39.781252,61.472494
57,23,1.242037,0.654086,1.055854,49.961125,1.752779,49.564780,49.991861,70.397824
58,23,1.242044,0.654068,1.055873,50.336304,3.704539,49.334366,50.472439,70.578656
59,24,1.305488,0.619782,1.148987,48.168394,2.764466,55.607338,48.247658,73.620734
60,19,1.660852,0.801959,1.454405,36.317079,-0.712264,46.719033,36.324063,59.178590
61,20,1.386977,0.772306,1.152062,36.860929,-2.414429,60.567669,36.939918,70.943640
62,20,1.493292,0.752418,1.289879,40.598735,-0.702672,53.784206,40.604816,67.390592
63,22,1.266469,0.694380,1.059141,41.148400,-0.363326,56.818762,41.150004,70.154790
64,21,1.365690,0.743116,1.145813,36.800671,0.821609,55.693272,36.809842,66.758557
65,20,1.380793,0.761816,1.151619,35.781058,0.405122,59.287141,35.783351,69.248923
66,20,1.409577,0.730276,1.205656,36.636640,-7.318252,69.147106,37.360409,78.594672
67,21,1.378459,0.692170,1.192078,38.456238,-8.180314,68.845512,39.316661,79.281173
68,21,1.280327,0.687875,1.079846,35.840511,-6.820697,83.394468,36.483752,91.025828
69,21,1.381244,0.683431,1.200316,34.990674,-8.706258,81.266312,36.057540,88.906466
70,22,1.267789,0.671812,1.075155,38.585580,-7.950897,85.524370,39.396241,94.161997
71,21,1.378779,0.692094,1.192492,40.488736,-9.525480,81.192851,41.594141,91.226924
72,20,1.466308,0.718820,1.278029,39.635675,-10.064082,84.916730,40.893429,94.250324
73,20,1.466389,0.718807,1.278128,45.655010,-7.635647,85.875852,46.289125,97.556881
74,21,1.450624,0.697971,1.271671,45.050756,-7.175326,89.132514,45.618592,100.128223
75,20,1.375431,0.692512,1.188376,38.698995,-2.617144,106.876559,38.787391,113.697232
76,23,1.248299,0.659543,1.059836,39.474080,-0.997768,118.510090,39.486688,124.915331
77,22,1.301454,0.693227,1.101462,40.523289,6.756308,111.856456,41.082656,119.162290
78,22,1.270231,0.685260,1.069535,35.890936,9.478201,109.453702,37.121363,115.577284
79,23,1.247210,0.644684,1.067668,37.596129,13.475448,119.484047,39.938160,125.982119
80,22,1.256339,0.651947,1.073943,38.319417,16.175711,124.090410,41.593645,130.875747
81,24,1.220141,0.639466,1.039148,39.286016,18.861005,124.021523,43.578992,131.455189
82,24,1.220145,0.639453,1.039160,40.833379,19.681109,122.207400,45.328919,130.343237
83,23,1.226717,0.645577,1.043103,42.421234,20.378034,119.701158,47.061931,128.620342
84,24,1.220150,0.639427,1.039182,45.022789,18.876828,127.377880,48.819936,136.413014
85,24,1.220153,0.639415,1.039194,46.184364,17.852974,130.002262,49.514888,139.112589
86,24,1.220156,0.639402,1.039205,46.170828,17.074762,132.189680,49.226953,141.058160
87,24,1.220159,0.639389,1.039216,45.290087,16.766990,125.463057,48.294140,134.436984
88,24,1.220162,0.639376,1.039228,45.377718,16.905875,124.346975,48.424641,133.443307
89,22,1.276424,0.664774,1.089649,46.079294,13.666372,126.424951,48.063198,135.252872
90,21,1.377447,0.670664,1.203150,47.575821,10.485100,112.110545,48.717513,122.238170
91,23,1.248342,0.659338,1.060015,45.903159,13.447279,121.361132,47.832304,130.447130
92,23,1.248344,0.659324,1.060026,44.503910,13.029966,119.058818,46.372169,127.770812
93,22,1.350760,0.665343,1.175531,45.824444,10.699415,105.291582,47.056956,115.328549
94,23,1.248349,0.659297,1.060049,45.891028,10.470843,116.264229,47.070426,125.431240
95,22,1.377503,0.711002,1.179826,52.047038,5.513790,133.218535,52.338285,143.130968
96,22,1.377503,0.710995,1.179831,53.432965,4.658260,131.905668,53.635633,142.393421
97,23,1.248356,0.659256,1.060082,47.329182,9.452056,115.929394,48.263784,125.574747
98,22,1.350605,0.665287,1.175384,48.845262,6.891503,109.625502,49.329022,120.212741
99,23,1.248360,0.659229,1.060103,47.692873,8.577611,114.712683,48.458080,124.527849
100,22,1.377506,0.710965,1.179852,49.592466,5.647226,120.076341,49.912963,130.037039
101,21,1.641431,0.845930,1.406662,58.654850,-1.099411,139.382712,58.665152,151.225463
102,22,1.377507,0.710950,1.179862,48.511076,5.604675,118.703529,48.833768,128.356008
103,23,1.248367,0.659175,1.060146,48.013245,6.691512,115.591368,48.477294,125.345173
104,23,1.248369,0.659161,1.060156,49.950172,5.608314,114.026069,50.264032,124.613070
105,22,1.377507,0.710928,1.179875,51.608162,4.302061,121.233302,51.787162,131.831042
106,23,1.248372,0.659134,1.060177,50.314995,4.729580,120.323784,50.536795,130.505864
107,23,1.248373,0.659121,1.060187,51.175642,3.454757,122.207584,51.292121,132.535185
108,23,1.248375,0.659107,1.060197,48.715388,2.929217,123.361246,48.803374,132.664111
109,22,1.305962,0.688668,1.109628,40.878050,3.327213,129.675396,41.013233,136.006594
110,22,1.305946,0.688659,1.109615,39.920348,3.609526,125.988177,40.083199,132.210754
111,21,1.314662,0.699822,1.112917,39.471195,5.900839,121.171366,39.909838,127.574665
112,21,1.314645,0.699807,1.112907,39.306640,5.467969,116.913626,39.685144,123.465406
113,21,1.392535,0.701491,1.202939,36.035431,6.163921,114.794836,36.558804,120.475726
114,22,1.257874,0.670104,1.064522,39.580844,5.641177,112.096257,39.980821,119.012759
115,23,1.236392,0.641230,1.057114,36.815755,6.083906,102.424150,37.315061,109.009725
116,22,1.293920,0.667547,1.108427,32.936648,7.491833,100.236609,33.777956,105.774894
117,22,1.293903,0.667531,1.108417,29.939943,9.883043,92.841363,31.528951,98.048934
118,22,1.293886,0.667516,1.108406,29.004993,11.051328,90.528511,31.039031,95.701791
119,22,1.248241,0.651409,1.064787,28.708802,13.904815,87.425874,31.898890,93.063540
120,21,1.314512,0.699687,1.112825,23.354261,11.570291,83.488310,26.063253,87.461941
121,22,1.257882,0.669973,1.064615,24.271714,11.052603,79.322325,26.669760,83.685766
122,22,1.251709,0.662645,1.061921,22.421157,11.224054,78.246637,25.073645,82.165831
123,22,1.251703,0.662628,1.061925,23.105192,10.651043,74.410613,25.441985,78.639900
124,22,1.251697,0.662611,1.061928,25.471755,9.240707,66.224288,27.096143,71.553178
125,22,1.251690,0.662594,1.061931,23.168126,9.535346,75.452782,25.053641,79.503504
126,22,1.251683,0.662576,1.061934,23.395102,9.116627,75.826568,25.108637,79.875604
127,22,1.251676,0.662559,1.061937,20.889621,9.101863,77.169344,22.786403,80.463208
128,21,1.308091,0.690833,1.110789,16.375878,10.189646,86.940067,19.287257,89.053768
129,12,1.900305,0.932480,1.655790,18.243606,6.186079,100.223917,19.263871,102.058465
130,9,1.920437,1.124923,1.556478,21.780495,26.863237,77.161224,34.583572,84.556951
131,19,1.489072,0.710395,1.308692,15.684698,8.716146,72.336796,17.943828,74.529142
132,20,1.465926,0.705209,1.285153,17.201361,8.750096,74.507661,19.298989,76.966503
133,21,1.357188,0.670064,1.180243,21.147555,7.596710,61.595795,22.470627,65.566539
134,21,1.357144,0.670048,1.180202,19.277832,4.622057,59.003636,19.824183,62.244898
135,20,1.465655,0.705178,1.284861,12.371604,5.297079,76.895458,13.457921,78.064250
136,20,1.465564,0.705167,1.284763,12.260620,5.434915,79.441496,13.411231,80.565578
137,20,1.465474,0.705157,1.284666,11.240771,4.920908,76.952300,12.270707,77.924494
138,19,1.918917,0.718345,1.779388,13.489988,2.136031,27.280195,13.658052,30.508219
139,21,1.431318,0.674740,1.262298,13.912705,7.318431,68.595904,15.720139,70.374149
140,21,1.450485,0.715696,1.261621,13.797298,5.614053,65.981237,14.895738,67.641752
141,21,1.450395,0.715685,1.261524,15.435992,3.947196,67.490889,15.932677,69.346019
142,21,1.450305,0.715674,1.261426,15.327855,3.617862,68.764020,15.749034,70.544472
143,21,1.450215,0.715663,1.261329,14.609107,3.165081,68.452984,14.948035,70.066074
144,22,1.437248,0.693746,1.258729,16.167296,2.568172,58.788033,16.370002,61.024666
145,22,1.437165,0.693733,1.258641,16.322839,1.662438,51.712121,16.407278,54.252578
146,23,1.403527,0.649487,1.244209,13.002687,1.018867,48.752487,13.042544,50.466949
147,23,1.403445,0.649480,1.244120,11.609658,0.643666,44.662146,11.627488,46.150903
148,23,1.403363,0.649474,1.244030,10.015308,-0.074256,40.962381,10.015583,42.169048
149,23,1.403280,0.649468,1.243940,9.233285,0.303093,44.682069,9.238259,45.627105
150,23,1.403197,0.649462,1.243849,7.708856,-0.277829,45.910196,7.713861,46.553729
151,23,1.403114,0.649455,1.243759,6.706012,-0.763542,44.978978,6.749340,45.482547
152,23,1.403031,0.649449,1.243669,6.751911,-1.095013,42.560077,6.840128,43.106235
153,23,1.402948,0.649443,1.243579,6.485524,-1.155508,43.040290,6.587657,43.541518
154,22,1.633025,0.662578,1.492569,10.193458,-3.372783,28.598255,10.736957,30.547380
155,23,1.355548,0.644031,1.192785,12.778533,-2.032534,32.366621,12.939169,34.857140
156,24,1.299126,0.615196,1.144230,13.704980,-1.161894,29.427832,13.754144,32.483438
157,24,1.299093,0.615187,1.144197,15.368336,-1.969694,24.923916,15.494046,29.347352
158,23,1.320032,0.645428,1.151481,15.182417,-2.467977,20.393651,15.381700,25.544035
159,23,1.319997,0.645419,1.151445,18.539770,-2.887894,17.054694,18.763342,25.355977
160,24,1.298992,0.615161,1.144096,24.397241,-2.246055,16.326977,24.500411,29.442152
161,24,1.298958,0.615153,1.144063,28.389402,-0.907030,11.728578,28.403888,30.730122
162,23,1.327024,0.635940,1.164720,29.287843,-1.453391,9.968536,29.323883,30.971952
163,23,1.326989,0.635929,1.164686,33.859407,1.208318,11.074483,33.880960,35.644967
164,23,1.326954,0.635919,1.164652,33.667171,1.270037,8.258578,33.691118,34.688550
165,23,1.319779,0.645364,1.151226,38.346829,1.506982,15.291786,38.376429,41.310883
166,23,1.326884,0.635899,1.164583,36.914271,-0.897479,18.264188,36.925179,41.195260
167,23,1.326849,0.635889,1.164549,35.727327,0.403226,19.277874,35.729603,40.598534
168,23,1.326814,0.635878,1.164514,35.113851,1.155974,19.648972,35.132874,40.254203
169,23,1.326779,0.635868,1.164480,33.926849,1.405702,12.189845,33.955958,36.077686
170,23,1.326744,0.635858,1.164446,33.275805,1.383336,6.697007,33.304547,33.971204
171,24,1.298615,0.615067,1.143719,33.282762,2.261218,0.300325,33.359486,33.360838
172,25,1.198675,0.607272,1.033462,31.235057,4.393884,15.395947,31.542591,35.099433
173,23,1.323370,0.619922,1.169189,31.518904,4.611628,8.379313,31.854488,32.938144
174,23,1.308171,0.622493,1.150571,35.062237,2.614499,5.967358,35.159580,35.662382
175,22,1.336559,0.628838,1.179386,34.736718,3.256080,6.918845,34.888990,35.568413
176,23,1.323263,0.619900,1.169080,31.687804,4.662231,14.915816,32.028945,35.331783
177,23,1.323228,0.619893,1.169044,31.265787,5.658967,8.012899,31.773784,32.768581
178,23,1.323192,0.619886,1.169007,30.768233,5.653178,6.830832,31.283264,32.020351
179,23,1.323156,0.619879,1.168970,30.380403,3.073652,9.027800,30.535491,31.842069
180,23,1.326386,0.635757,1.164093,32.846374,1.100834,21.603908,32.864816,39.329696
181,23,1.326349,0.635747,1.164057,34.836951,-0.391194,20.815212,34.839147,40.583731
182,24,1.298225,0.614973,1.143328,37.326542,-0.228873,23.565931,37.327244,44.143813
183,24,1.298189,0.614964,1.143291,38.281979,-0.624432,25.798648,38.287072,46.167847
184,24,1.298154,0.614956,1.143255,38.724900,-0.473332,27.929375,38.727793,47.748214
185,24,1.298117,0.614947,1.143219,39.152407,0.020725,32.885239,39.152412,51.130718
186,23,1.326166,0.635697,1.163875,38.821112,-2.551377,38.881296,38.904862,55.003122
187,24,1.298045,0.614930,1.143146,40.004816,-0.257067,35.263349,40.005642,53.328746
188,24,1.298009,0.614922,1.143109,40.712001,-0.841024,36.969294,40.720687,54.999119
189,24,1.297973,0.614913,1.143072,41.127334,-1.388055,37.866139,41.150751,55.921631
190,24,1.297936,0.614905,1.143036,42.080555,-1.856464,39.083667,42.121486,57.460879
191,22,1.351732,0.640706,1.190241,41.157537,-4.128871,41.396780,41.364120,58.520798
192,24,1.297863,0.614888,1.142962,41.247010,-1.056208,37.546766,41.260531,55.787015
193,24,1.297827,0.614880,1.142925,39.948554,-0.213491,36.570609,39.949125,54.160337
194,24,1.297790,0.614871,1.142888,38.778469,-0.060510,37.518241,38.778517,53.957314
195,24,1.297754,0.614863,1.142851,37.534627,0.350423,38.632079,37.536263,53.864724
196,24,1.297717,0.614855,1.142813,36.993502,0.866252,38.397168,37.003643,53.325530
197,24,1.297680,0.614846,1.142776,35.563729,1.339730,39.933741,35.588955,53.490909
198,24,1.297643,0.614838,1.142739,36.226827,1.116314,37.545013,36.244023,52.184837
199,24,1.297606,0.614830,1.142701,36.614784,0.954650,36.347015,36.627227,51.600962
200,24,1.297569,0.614821,1.142664,37.195483,0.684382,36.216096,37.201779,51.918956
201,24,1.297532,0.614813,1.142626,37.635473,0.641363,36.308148,37.640938,52.298392
202,24,1.297495,0.614805,1.142588,38.055764,0.327679,36.955093,38.057175,53.047407
203,23,1.389214,0.643400,1.231240,32.096974,5.684060,17.191104,32.596384,36.851843
204,23,1.389159,0.643396,1.231180,32.277935,5.500229,17.009968,32.743207,36.897921
205,23,1.389104,0.643392,1.231120,32.291112,5.297904,16.944069,32.722831,36.849493
206,23,1.389049,0.643388,1.231060,32.264072,5.093573,17.049475,32.663662,36.845617
207,23,1.388994,0.643384,1.231000,32.328360,5.056656,16.666638,32.721440,36.721512
208,23,1.388938,0.643380,1.230939,32.367796,4.776414,16.949559,32.718318,36.848011
209,23,1.388883,0.643376,1.230879,32.350494,4.679609,16.593016,32.687203,36.657624
210,23,1.388827,0.643372,1.230818,32.308168,4.675703,16.243116,32.644753,36.462566
211,23,1.388772,0.643368,1.230758,32.300673,4.423609,16.382045,32.602175,36.486617
212,23,1.388716,0.643364,1.230697,32.376679,4.260632,16.237888,32.655817,36.470144
213,24,1.297081,0.614715,1.142167,30.817606,5.627480,11.090453,31.327198,33.232386
214,24,1.297043,0.614707,1.142128,31.078772,5.545576,10.923310,31.569661,33.406020
215,24,1.297005,0.614698,1.142089,30.983449,5.542710,10.302656,31.475320,33.118582
216,24,1.296966,0.614690,1.142050,31.123796,5.327315,10.192787,31.576430,33.180775
217,24,1.296928,0.614682,1.142011,31.502396,4.957163,11.010921,31.890036,33.737439
218,24,1.296889,0.614674,1.141971,31.648688,4.833427,10.872717,32.015644,33.811499
219,25,1.198564,0.606770,1.033628,30.780411,6.382182,20.829836,31.435107,37.710052
220,25,1.198560,0.606759,1.033630,30.782098,6.329024,21.006376,31.426010,37.800290
221,25,1.198557,0.606749,1.033632,30.686316,6.566740,21.064716,31.381079,37.795428
222,25,1.198553,0.606738,1.033633,31.088042,6.478373,20.800253,31.755876,37.961641
223,25,1.198549,0.606728,1.033635,31.274718,6.171067,19.891836,31.877736,37.574928
224,25,1.198545,0.606717,1.033637,31.451058,6.090253,18.276730,32.035296,36.882233
